ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
746,0.6679,98900,1.644,100200,0.5974,1174,4.32,43190,0.4728,8.46E+09,0.1121,13.71,0.8528
706.9,0.6579,1.22E+08,0.3415,1551000,0.4929,1123,5.149,17940,0.6615,8.46E+09,0.1121,13.26,0.7572
653.2,0.6825,1079000,0.8323,2306000,0.463,1212,5.179,25260,0.5663,1295000,0.2184,10.88,1.06
657.1,0.6745,106100000,0.3724,101300,0.6696,1143,5.183,12800,0.7547,342400,0.2113,14.78,0.5062
665,0.6841,873800,4.767,215600,0.5808,1976,2.232,7561,0.73,69510,0.3007,14.24,0.6275
689,0.6811,1.63E+09,8.286,47070,0.7926,1659,2.257,5402,1.031,43520,0.423,22.29,0.5504
656,0.6301,367800,6.163,47070,0.7926,1265,3.871,55670,0.5256,1125000,0.1751,18.54,0.584
739.7,0.6539,6.10E+09,9.375,119800,0.717,1072,6.857,60180,0.4436,27550,0.3902,14.36,0.5143
637.7,0.7079,55000,4.074,518600,0.505,1044,6.652,64380,0.4695,62260,0.3274,21.44,0.6794
624.3,0.7179,51330000,1.896,572000,0.4969,1049,5.715,44300,0.5314,89110,0.3057,18.54,0.8029
653.6,0.8271,431700,2.443,82670,0.7359,1177,5.394,15380,0.6863,148400,0.2529,25.65,0.5172
623.4,0.6848,13280000,8.634,204300,0.6391,3272,1.089,28230,0.5697,118900,0.2582,15.03,0.5711
651.6,0.6565,221600000,4.082,204300,0.6391,2880,1.264,133300,0.4151,33100000,0.1496,19.95,0.5995
647.6,0.6654,171900,3.821,204300,0.6391,1947,2.04,7248,0.8468,176600,0.2525,18.19,0.6221
676.2,0.7283,390500000,7.473,56790,0.7392,4746,1.018,17600,0.6172,241700,0.2285,30.93,0.6635
724.7,0.6372,6169,5.84,522300,0.5742,4970,1.017,17210,0.6435,1281000,0.2387,15,0.6642
690.3,0.6675,39580,8.42,117300,0.7167,2070,1.92,20780,0.6215,542500,0.2485,15.51,0.5899
711.6,0.6716,4.92E+09,7.037,34920,0.7823,1504,2.85,9493,0.6411,241900,0.2842,17.75,0.4534
745.5,0.6494,5241,6.864,328300,0.5889,1219,3.7,25060,0.5733,160600,0.2733,15.36,0.5171
755.7,0.6631,1783000,6.213,328300,0.5889,2082,1.887,31260,0.5464,8425000,0.1688,17.54,0.5699
746.1,0.6472,58270,4.251,191700,0.6727,3452,1.252,31860,0.4999,31350,0.3941,24.85,0.8037
651.3,0.6902,1070000,8.843,2072000,0.4494,4848,1.196,33730,0.5501,71850,0.3169,17.48,0.5013
749,0.6564,11260000,1.745,5171000,0.3872,4168,1.033,62930,0.4643,151800,0.286,19.61,0.5358
766.1,0.7015,5032000,2.614,5171000,0.3872,1668,3.016,12180,0.6882,66570,0.2777,28.89,0.6664
690,0.6957,71600,4.122,5171000,0.3872,2632,1.569,13650,0.7113,8701000,0.211,11.26,0.5643
612,0.6724,1577000,7.62,87870,0.7396,3071,1.28,10870,0.7229,110100,0.2422,17.07,0.5925
725.9,0.6668,2.28E+09,7.417,258300,0.6079,2278,2.164,42770,0.5087,226500,0.2654,20.69,0.5436
773.3,0.6259,184000,1.389,247200,0.5892,2551,1.671,33850,0.5265,1.82E+09,0.1323,21.08,0.5448
756.3,0.684,2543000,6.043,86500,0.7,2285,1.889,13600,0.6485,50080,0.45,26.09,0.6071
637.8,0.6572,3.37E+09,5.026,35030,0.8976,4552,0.9248,20840,0.5283,44810000,0.1717,25.2,0.5023
685.4,0.6573,3.75E+09,1.839,157900000,0.2692,1744,2.327,8686,0.7584,8648000,0.1989,23.7,0.5776
722.8,0.6326,9725,3.169,589200000,0.2394,2030,1.878,8330,0.8109,178400,0.2487,18.1,0.5806
746.2,0.6278,7711000,7.277,461700000,0.2727,1764,2.428,13760,0.692,47660,0.3736,17.36,0.5566
700,0.6293,25360,9.781,461700000,0.2727,1943,2.22,8918,0.8016,25170000,0.1611,18.17,0.5185
756.8,0.6595,102900000,5.57,243300000,0.2777,1666,2.243,10370,0.7519,8104000,0.1854,16.86,0.5408
