ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
719.7,5.258,5.53E+09,0.271,1289000,1.972,211400000,0.2375,1.85E+09,8.37,470900,0.2132,9.006,0.839
492600000,5.96,3143000,3.166,3727,8.346,377300,8.236,11600000,2.11,92040,0.2698,12.78,0.557
2720000,1.071,1431000,1.011,2.09E+09,2.695,2109000,3.291,550200000,4.067,405100,0.2001,11.63,0.6406
514700000,8.373,38230,3.179,32590000,0.3127,89580000,2.543,103700000,3.211,499900000,0.1414,16.88,0.5979
19750000,6.677,177.4,7.878,12370,7.182,397.8,5.206,26440000,4.101,27580,0.3463,14.14,0.5722
195600,0.6972,177.4,7.878,1090000,3.65,4062000,1.442,840200,5.413,120700,0.2515,10.32,0.6242
21930000,2.136,822.2,5.821,2733000,0.9205,4.16E+09,0.9842,246500000,4.998,202800,0.2189,12.44,0.5002
14960,7.979,373.8,9.802,104500000,0.2919,25630,2.052,7.25E+08,6.793,25180,0.2981,21.87,0.5105
70300,2.012,20830000,8.451,104500000,0.2919,104400000,0.3821,12510000,6.975,19350,0.3363,13.87,0.7057
32580,4.144,68520000,3.408,4.75E+09,3.483,1802,8.181,52470000,6.84,40700,0.2516,12.14,0.6746
120600,8.344,976.3,2.931,727500,0.8691,165200,3.085,12010,5.043,444100,0.2184,10.64,0.7569
11720000,7.8,5698,5.972,2661,1.252,448800000,3.245,3.35E+09,7.245,189100,0.2575,13.67,0.5702
6.74E+09,9.196,764.8,2.514,40290,3.485,26380000,9.217,5170000,8.049,22330,0.3442,12.82,0.5816
387100000,2.933,521.8,1.619,41340,8.207,134300000,9.733,79490000,3.319,53580,0.3678,9.546,0.6389
463.3,3.838,2286,0.856,3774,6.028,4173,8.181,83030,8.333,91740000,0.1412,12.9,0.6076
1238,2.984,1442,3.365,1054000,7.733,3958,4.358,470600000,7.786,1.88E+09,0.1339,9.88,0.6425
177300000,8.234,48620000,9.192,1488,2.101,86920,3.301,11700,4.522,27170,0.344,11.87,0.5692
213400,9.623,335500,0.2962,1967,1.426,14310,3.048,3.88E+09,3.398,52260,0.2789,11.26,0.6532
186700000,7.231,340200,0.414,1967,1.426,3.43E+09,1.89,5674000,3.492,14190,0.3567,13.65,0.6265
