ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
268.7,0.9954,632700,3.174,1201000,0.3733,29590,1.568,139300000,2.918,11280,0.8414,527.1,1.159
201.5,0.982,2.32E+09,1.049,491900000,0.5526,8980000,8.462,3.00E+09,8.422,11090,0.8725,635.2,0.9935
196.8,1.325,11520000,0.5381,180700,0.4434,6419000,4.698,1.77E+09,6.514,7060,0.9987,459.2,1.475
192.5,1.015,23990,5.268,373800000,3.375,39490,3.358,439600000,6.403,9106,0.8816,502.9,1.104
189,0.8377,1819,7.755,270500,0.5304,568500000,8.703,503800,7.924,12550,0.8226,556.4,0.9816
194.8,1.163,98480,4.139,2437,2.702,7181,2.712,16640000,7.242,25080,0.7019,543.5,1.173
198.3,1.182,2.49E+09,1.007,228400000,4.418,8229000,4.605,1.95E+08,1.485,27340,0.5822,569.2,0.9965
171.3,1.065,1.72E+09,2.461,426300000,8.141,469800000,3.727,41030000,0.5318,9512,0.9043,514.3,1.275
233.1,1.253,4219,2.283,8998000,8.467,8.81E+09,7.079,1200000,0.3776,24230,0.7105,513.5,1.271
214.5,1.278,5976,2.342,15940,1.358,159100000,8.959,1200000,0.3776,20060,0.7703,498,1.259
180.4,1.122,2790,3.078,912.6,8.231,12430000,0.6402,147700000,5.616,49760,0.5891,472.1,1.063
197.3,1.274,3983,3.03,24230000,1.688,3454000,0.6237,6320,4.625,20370,0.7578,483.6,1.12
177.6,1.038,9792000,5.706,266400000,1.034,3454000,0.6237,2453,7.588,38210,0.6954,472.9,1.023
196.6,0.9784,43030000,4.809,297700000,4.765,3454000,0.6237,7640,4.806,79670,0.5146,547.4,0.8012
184.8,0.9113,2312,5.773,1.71E+09,0.2811,778300,0.8119,25770000,4.239,7488,1.054,500.3,1.03
187.8,1.386,149400000,2.09,1.71E+09,0.2811,17520000,8.805,6280,0.852,16690,0.8343,531.6,1.236
214.5,1.494,79930000,7.669,1.71E+09,0.2811,49290,1.593,80010,0.5977,80770,0.5083,501.1,1.207
199.7,1.294,1.98E+08,3.164,2.26E+09,0.2868,152900,1.168,16890,1.184,52860,0.6141,510.6,1.279
170.2,1.163,25120,4.712,2.26E+09,0.2868,1047000,0.7677,32950000,9.056,34570,0.5953,450,1.081
218.7,0.9643,39600,2.296,2.26E+09,0.2868,1047000,0.7677,379400000,1.653,37280,0.64,456.2,1.031
237.3,1.19,2457000,0.4913,1.49E+09,0.2508,1777000,5.462,2139,4.499,12880,0.9462,499.3,1.073
